Sample_ID,Site,PFAS_type,Conc_ppb,Sample_type,Size_class
Rat_W1_421,Ratlum Brook,PFPeA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFBS,0,Water,NA
Rat_W1_421,Ratlum Brook,PFHxA,0,Water,NA
Rat_W1_421,Ratlum Brook,42FTS,0,Water,NA
Rat_W1_421,Ratlum Brook,PFPeS,0,Water,NA
Rat_W1_421,Ratlum Brook,GenX,0,Water,NA
Rat_W1_421,Ratlum Brook,ADONA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFHpA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFHxS,0.0042,Water,NA
Rat_W1_421,Ratlum Brook,PFOA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFHpS,0,Water,NA
Rat_W1_421,Ratlum Brook,6:2FTS,0,Water,NA
Rat_W1_421,Ratlum Brook,9Cl-PF3ONS,0,Water,NA
Rat_W1_421,Ratlum Brook,PFNA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFOS,0.0039,Water,NA
Rat_W1_421,Ratlum Brook,PFNS,0,Water,NA
Rat_W1_421,Ratlum Brook,8:2FTS,0,Water,NA
Rat_W1_421,Ratlum Brook,PFDA,0,Water,NA
Rat_W1_421,Ratlum Brook,NMeFOSAA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFOSA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFDS,0,Water,NA
Rat_W1_421,Ratlum Brook,NEtFOSAA,0,Water,NA
Rat_W1_421,Ratlum Brook,11-ClPF3OUdS,0,Water,NA
Rat_W1_421,Ratlum Brook,PFUnA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFDoA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFTrDA,0,Water,NA
Rat_W1_421,Ratlum Brook,PFTA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFBA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFPeA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFBS,0,Water,NA
Rat_W2_421,Ratlum Brook,PFHxA,0,Water,NA
Rat_W2_421,Ratlum Brook,42FTS,0,Water,NA
Rat_W2_421,Ratlum Brook,PFPeS,0,Water,NA
Rat_W2_421,Ratlum Brook,GenX,0,Water,NA
Rat_W2_421,Ratlum Brook,ADONA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFHpA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFHxS,0.0044,Water,NA
Rat_W2_421,Ratlum Brook,PFOA,0.0055,Water,NA
Rat_W2_421,Ratlum Brook,PFHpS,0,Water,NA
Rat_W2_421,Ratlum Brook,6:2FTS,0,Water,NA
Rat_W2_421,Ratlum Brook,9Cl-PF3ONS,0,Water,NA
Rat_W2_421,Ratlum Brook,PFNA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFOS,0.0046,Water,NA
Rat_W2_421,Ratlum Brook,PFNS,0,Water,NA
Rat_W2_421,Ratlum Brook,8:2FTS,0,Water,NA
Rat_W2_421,Ratlum Brook,PFDA,0,Water,NA
Rat_W2_421,Ratlum Brook,NMeFOSAA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFOSA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFDS,0,Water,NA
Rat_W2_421,Ratlum Brook,NEtFOSAA,0,Water,NA
Rat_W2_421,Ratlum Brook,11-ClPF3OUdS,0.0031,Water,NA
Rat_W2_421,Ratlum Brook,PFUnA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFDoA,0.004,Water,NA
Rat_W2_421,Ratlum Brook,PFTrDA,0,Water,NA
Rat_W2_421,Ratlum Brook,PFTA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFBA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFPeA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFBS,0,Water,NA
Rat_W3_421,Ratlum Brook,PFHxA,0,Water,NA
Rat_W3_421,Ratlum Brook,42FTS,0,Water,NA
Rat_W3_421,Ratlum Brook,PFPeS,0,Water,NA
Rat_W3_421,Ratlum Brook,GenX,0,Water,NA
Rat_W3_421,Ratlum Brook,ADONA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFHpA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFHxS,0.0044,Water,NA
Rat_W3_421,Ratlum Brook,PFOA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFHpS,0,Water,NA
