Sample_ID,Site,Sample_type,Size_class,PFBA,PFPeA,PFBS,PFHxA,4:2FTS,PFPeS,GenX,ADONA,PFHpA,PFHxS,PFOA,PFHpS,6:2FTS,9Cl-PF3ONS,PFNA,PFOS,PFNS,8:2FTS,PFDA,NMeFOSAA,PFOSA,PFDS,NEtFOSAA,11-ClPF3OUdS,PFUnA,PFDoA,PFTrDA,PFTA
RB_B_Odon1,Russell Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0.51,0.68,0,0,0,14.91,27.28,0,0,0,0,0,0,0,0,3.22,0,0,0
RB_B_Odon2,Russell Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,1.95,0,0,19.06,0,20.04,62.83,0,0,0,0,0,0,0,0,3.31,0,0,0
RB_B_Odon3,Russell Brook,Larval_Odonata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19,9.14,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_pleco1,Hop Brook,Larval_Plecoptera,NA,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,20.85,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_pleco2,Hop Brook,Larval_Plecoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_pleco3,Hop Brook,Larval_Plecoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0
RB_Tetragn1,Russell Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0.55,0,0,4.78,0,11.04,25.76,0,0,0,0,0,0,0,0,2.39,0,0,0
RB_Tetragn2,Russell Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.02,38.86,0,4.81,0,0,0,0,0,0,0,0,0,0
RB_Tetragn3,Russell Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,4.12,0,0,0
RB_Tetragn4,Russell Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,30.97,0,0,0,0,0,0,0,0,0,0,0,0
HB_Tetragn1,Hop Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0
HB_Tetragn2,Hop Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0
HB_Tetragn3,Hop Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
HB_Tetragn4,Hop Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0
HB_Tetragn5,Hop Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0
HB_Tetragn6,Hop Brook,Tetragnathidae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_trich1,Hop Brook,Emergent_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0
